Employee_ID,Department,Training_Program,Pre_Training_Score,Post_Training_Score,Feedback,Engagement (hrs),Sentiment_Score,Manager_Support_Rating,Learning_Style,Training_Difficulty,Trainer_Quality,Engagement_Support_Score,Score_Progress_Indicator,Training_Effectiveness,Motivation_Index,High_Performance,Improvement (%)
1,HR,Leadership,59.25022069418912,67.0012783271779,Negative,13.226080367557056,0.0,2,Visual,Hard,3,23.1677652743807,0.3793360280670197,3.926271820347898,1.7335207671984292,0,13.08190508351804
2,Sales,Operations,55.181065661308935,79.0,Positive,5.854690736292197,0.7961524025587021,4,Kinesthetic,Medium,3,31.60042179493771,0.1393265289024735,2.4520062110622773,2.521181029458797,0,43.16504955683029
3,Sales,Operations,70.82704559135736,80.0,Positive,10.389102942398138,0.6558152949672286,4,Kinesthetic,Hard,4,15.0,0.3618614916642287,3.3773422351901035,4.481170975347802,1,12.951202936752122
4,Marketing,General,70.42139708411352,80.0,Negative,14.196651423289191,0.5382564559933317,4,Auditory,Easy,3,54.11406224185347,0.1,4.663699214179782,3.074498530543507,1,13.601835965346575
5,Finance,Leadership,53.2018915186309,82.41759646172386,Positive,12.600252825362888,1.0,2,Kinesthetic,Hard,3,38.72752872237217,0.1899895912415021,5.310942173572891,3.497463708080743,1,54.91478612722226
6,Marketing,Leadership,67.52991364489606,85.57748606125662,Positive,19.156659771582344,1.0,3,Auditory,Medium,2,36.33994640953798,0.8,3.5100231634410948,3.894914458737284,1,26.725300599765557
7,IT,Operations,59.64422157661795,80.0,Negative,10.074588534142672,0.4905957047035729,4,Visual,Hard,4,37.72037229403645,0.1297456784367375,3.92813903813925,4.5535932252248665,1,34.12866810112252
8,Marketing,Sales,56.76715216055089,64.39221958653208,Positive,9.08690771593111,0.6884191217306234,2,Kinesthetic,Hard,2,40.40732549580944,0.1310263369762163,2.4495547041715127,2.369373453136312,0,13.432182407910295
9,Finance,Tech,67.385320339491,63.80059291440576,Positive,14.790669959437984,0.8769018781502683,4,Auditory,Medium,1,5.0,0.1962514346407159,4.5,1.1168002715259286,0,-5.319745319937909
10,Marketing,General,79.08225207755763,57.605226842499775,Negative,14.71702157969948,0.4531015367170608,2,Kinesthetic,Medium,1,5.0,0.3956825266363775,2.76474738866194,1.472101997931346,0,-27.15783209359653
